State,Library ID,Submission Year,Library Name,Street Address,City,Zip Code,Longitude,Latitude,State Code,County Code,County,County Population,Print_Collection_Expenditures,Digital_Collection_Expenditures,Total Collection Expenditures,Total Operating Expenditures,Print Collection,Digital Collection,Audio Collection,Library Visits,Registered Users
MI,MI0054,2015,CARSON CITY PUBLIC LIBRARY,102 WEST MAIN STREET,CARSON CITY,48811,-84.846584,43.176959,26,117,MONTCALM,62893,19873.0,2403.0,38955.0,213135.0,40162.0,3892.0,1466.0,50000.0,2403.0
MI,MI0055,2015,CASS DISTRICT LIBRARY,319 M-62 NORTH,CASSOPOLIS,49031,-86.0125579,41.9156926,26,27,CASS,51608,70698.0,14270.0,120168.0,941336.0,69307.0,7275.0,5501.0,73992.0,8587.0
MI,MI0056,2015,CEDAR SPRINGS PUBLIC LIBRARY,43 WEST CHERRY STREET,CEDAR SPRINGS,49319,-85.5517317,43.2236031,26,81,KENT,629237,11327.0,1200.0,13889.0,136396.0,19145.0,3892.0,545.0,28774.0,2760.0
MI,MI0057,2015,CENTER LINE PUBLIC LIBRARY,7345 WEINGARTZ STREET,CENTER LINE,48015,-83.029404,42.47929,26,99,MACOMB,860112,22537.0,3714.0,32547.0,239079.0,38269.0,3799.0,2070.0,61137.0,4124.0
MI,MI0058,2015,CENTRAL LAKE DISTRICT LIBRARY,7900 MAPLE STREET,CENTRAL LAKE,49622,-85.2625998,45.0708996,26,9,ANTRIM,23267,8875.0,4820.0,13695.0,123915.0,22617.0,10237.0,1705.0,20053.0,3000.0
MI,MI0059,2015,CHARLES A. RANSOM DISTRICT LIBRARY,180 SOUTH SHERWOOD AVENUE,PLAINWELL,49080,-85.634866,42.442367,26,5,ALLEGAN,113847,39817.0,4000.0,50437.0,451930.0,42583.0,5528.0,4010.0,71697.0,9280.0
MI,MI0060,2015,CHARLEVOIX PUBLIC LIBRARY,220 WEST CLINTON STREET,CHARLEVOIX,49720,-85.2614678,45.3170664,26,29,CHARLEVOIX,26121,48930.0,9642.0,75765.0,937309.0,40575.0,10068.0,3895.0,145956.0,8267.0
MI,MI0061,2015,CHARLOTTE COMMUNITY LIBRARY,226 SOUTH BOSTWICK STREET,CHARLOTTE,48813,-84.837232,42.561371,26,45,EATON,108579,32357.0,2937.0,47716.0,482836.0,52125.0,5900.0,1186.0,105482.0,10920.0
MI,MI0062,2015,CHASE TOWNSHIP PUBLIC LIBRARY,8400 EAST NORTH STREET,CHASE,49623,-85.6342575,43.8896461,26,85,LAKE,11341,447.0,0.0,447.0,31617.0,33544.0,0.0,1205.0,5199.0,1012.0
MI,MI0063,2015,CHEBOYGAN AREA PUBLIC LIBRARY,100 SOUTH BAILEY STREET,CHEBOYGAN,49721,-84.48025,45.643635,26,31,CHEBOYGAN,25675,30484.0,1924.0,39418.0,497038.0,58978.0,583.0,3558.0,79815.0,5491.0
MI,MI0064,2015,RIVER RAPIDS DISTRICT LIBRARY,227 EAST BROAD STREET,CHESANING,48616,-84.1139441,43.1839541,26,145,SAGINAW,195012,11802.0,1065.0,17974.0,142370.0,21348.0,3180.0,732.0,32864.0,3420.0
MI,MI0065,2015,CLINTON TOWNSHIP PUBLIC LIBRARY,100 BROWN STREET,CLINTON,49236,-83.9719343,42.072799,26,91,LENAWEE,99047,20045.0,268.0,24651.0,153993.0,35185.0,7170.0,1708.0,27874.0,3072.0
MI,MI0066,2015,COLEMAN AREA LIBRARY,111 FIRST STREET,COLEMAN,48618,-84.5822853,43.7546081,26,111,MIDLAND,83427,5590.0,0.0,7716.0,147833.0,26638.0,0.0,526.0,23775.0,2142.0
MI,MI0067,2015,COLOMA PUBLIC LIBRARY,151 WEST CENTER STREET,COLOMA,49038,-86.3073211,42.1861094,26,21,BERRIEN,155233,27145.0,7328.0,40331.0,337816.0,71200.0,6211.0,2503.0,61131.0,11332.0
MI,MI0068,2015,COLON TOWNSHIP LIBRARY,128 SOUTH BLACKSTONE AVENUE,COLON,49040,-85.325468,41.9585135,26,149,ST. JOSEPH,60946,7332.0,500.0,9260.0,88901.0,24714.0,6580.0,953.0,24303.0,3902.0
MI,MI0069,2015,COLUMBIA TOWNSHIP LIBRARY,6456 CENTER STREET,UNIONVILLE,48767,-83.4663491,43.6548272,26,157,TUSCOLA,54000,4251.0,4216.0,10309.0,54734.0,15427.0,3941.0,134.0,11202.0,1001.0
MI,MI0070,2015,COMSTOCK TOWNSHIP LIBRARY,6130 KING HIGHWAY,COMSTOCK,49041,-85.50964,42.28678,26,77,KALAMAZOO,258818,85552.0,39690.0,140229.0,817698.0,95179.0,6895.0,7321.0,77802.0,2949.0
MI,MI0071,2015,CONSTANTINE TOWNSHIP LIBRARY,165 CANARIS STREET,CONSTANTINE,49042,-85.6699422,41.8410078,26,149,ST. JOSEPH,60946,15634.0,370.0,18716.0,154990.0,19406.0,8959.0,677.0,23800.0,3024.0
MI,MI0072,2015,COOPERSVILLE AREA DISTRICT LIBRARY,333 OTTAWA STREET,COOPERSVILLE,49404,-85.935695,43.065797,26,139,OTTAWA,276292,24366.0,3685.0,38040.0,272731.0,36046.0,3892.0,1892.0,49376.0,5750.0
